feature_id,feature_name,jira_keys,ticket_count,category,is_user_facing,llm_reasoning,team,released_date,first_created,lead_time_days,quarter,iso_week,story_points,description,fix_versions
FULL-5083,CQ Mapping validation step fix,FULL-5083,1,bug_fix,true,"Mapping validation step disappeared during activation flow, blocking user from activating rivers",FullStack,2026-03-08,2026-03-03,5,2026-Q1,2026-W10,,Restored missing CQ Mapping validation step in the activation flow,TBD
FULL-5002,Pendo analytics tags for new features,FULL-5002,1,tech_debt,false,"Internal analytics tracking tags for Pendo, not visible to end users",FullStack,2026-03-08,2026-02-12,24,2026-Q1,2026-W10,,"Added Pendo tracking tags for new dashboard, notifications, and build wizard",TBD
FULL-5069,Production monitoring alerts for API service (AU region),FULL-5069|FULL-5068,2,improvement,false,Internal production monitoring: error rate alerts and river_search health checks for AU region,FullStack,2026-03-05,2026-03-02,3,2026-Q1,2026-W10,,Added API service error monitoring alerts and river_search health checks for AU region,TBD
FULL-5055,RiverCrossID in RUNS API response,FULL-5055,1,improvement,true,"Adds RiverCrossID to the RUNS API response, enabling API consumers to correlate runs with rivers",FullStack,2026-03-05,2026-02-27,6,2026-Q1,2026-W10,,Added RiverCrossID field to the RUNS API response for river correlation,TBD
DCI-658,Oracle CDC - Support DDLs,DCI-861|DCI-868|DCI-870|DCI-871|DCI-872|DCI-874|DCI-875|DCI-876|DCI-885|DCI-888|DCI-889|DCI-890|DCI-893|DCI-904|DCI-884|DCI-918|DCI-921,17,feature,true,Major new capability allowing Oracle CDC rivers to handle DDL changes (add/drop/rename columns) automatically without breaking replication,CDC,2026-03-04,2026-02-04,28,2026-Q1,2026-W10,,"Oracle CDC now supports DDL changes (add, drop, rename columns, constraints) without breaking replication",
FULL-4814,Production defect fixes - Saga team Q1/2026,FULL-5089,1,bug_fix,true,Customer-reported Chargebee certificate issue affecting production integrations,FullStack,2026-03-04,2026-03-04,0,2026-Q1,2026-W10,,Fixed Chargebee certificate issue reported by customers,TBD
FULL-5044,High Frequency sources support,FULL-5044|FULL-5022,2,feature,true,"New high frequency source capability with internal account settings, visible to users with the feature enabled",FullStack,2026-03-04,2026-02-23,9,2026-Q1,2026-W10,,Added High Frequency sources support with internal account settings configuration,TBD
FULL-5043,Boomi accounts contract dates display,FULL-5043,1,feature,false,"Internal admin feature showing contract dates for Boomi accounts, not visible to end customers",FullStack,2026-03-04,2026-02-27,5,2026-Q1,2026-W10,,Added contract date display for Boomi accounts in admin settings,TBD
FULL-5031,Logic UI variable comparison before saving,FULL-5031|FULL-5021,2,improvement,true,"UI now compares variables before saving in Logic rivers, preventing accidental data loss",FullStack,2026-03-04,2026-02-16,16,2026-Q1,2026-W10,,Logic river UI now compares variables before saving to prevent accidental changes,TBD
FULL-5020,Dashboard 'has rivers' indicator,FULL-5020,1,improvement,true,Changed dashboard display from exact river count to has/no rivers indicator for cleaner UX,FullStack,2026-03-04,2026-02-16,16,2026-Q1,2026-W10,,Dashboard now shows 'has rivers' indicator instead of exact river count,TBD
CORE-2030,Zombie river prevention on MongoDB failure,CORE-2030,1,improvement,true,Prevents user-visible zombie rivers that appear stuck in the dashboard when MongoDB fails,Core,2026-03-03,2026-01-29,33,2026-Q1,2026-W10,,"Rivers no longer become zombies when MongoDB fails, improving reliability for users",TBD
FULL-4004,New Dashboard - React migration,FULL-5049|FULL-5003|FULL-4997,3,feature,true,"New React-based dashboard with source sorting, no-rivers preview, and full rollout - directly impacts all users",FullStack,2026-02-26,2025-06-01,270,2026-Q1,2026-W09,2.0,Rolled out new React dashboard with source sorting and empty state preview,TBD
FULL-4795,Frontend DB support improvements Q1/2026,FULL-5053,1,improvement,true,"Updated BigQuery partition message in the UI, directly seen by users when configuring BQ targets",FullStack,2026-02-25,2025-06-01,269,2026-Q1,2026-W09,,Updated BigQuery partition user messaging in the frontend,TBD
FULL-5033,DCA flow UX cleanup,FULL-5033,1,improvement,true,"Removed annoying 'Stay in the process' popup from DCA flow, improving user experience",FullStack,2026-02-25,2026-02-20,5,2026-Q1,2026-W09,,Removed the 'Stay in the process' popup from the DCA flow,TBD
CORE-2071,Orchestrator deployment failure fix,CORE-2071,1,bug_fix,false,"Internal integration deployment issue, not customer-visible",Core,2026-02-24,2026-02-16,8,2026-Q1,2026-W09,,Fixed orchestrator integration deployment failures,py_v3_v8.2.1682
CORE-2070,Blueprint local development setup,CORE-2070,1,tech_debt,false,Internal developer tooling and documentation for running blueprint locally,Core,2026-02-24,2026-02-19,5,2026-Q1,2026-W09,,Set up bootstrap blueprint for local development with documentation,TBD
CORE-2061,Rivery dev-agents debug agent,CORE-2061,1,feature,false,"Internal developer tooling for AI-assisted debugging, not customer-facing",Core,2026-02-23,2026-02-16,7,2026-Q1,2026-W09,,Built debug agent for rivery-dev-agents internal tooling,TBD
DCI-823,S3 to Snowflake loading speed optimization,DCI-117,1,improvement,true,Performance tech design that will speed up S3 to Snowflake data loading for customers,CDC,2026-02-23,2024-06-01,632,2026-Q1,2026-W09,,Tech design completed for S3 source performance optimization for Snowflake loading,
DCI-843,BigQuery target E2E test coverage,DCI-843,1,tech_debt,false,"Internal test coverage improvement, not visible to end users",CDC,2026-02-23,2025-06-01,267,2026-Q1,2026-W09,,Created end-to-end test coverage for BigQuery target operations,
DCI-338,Pin Zookeeper and Kafka versions,DCI-338,1,tech_debt,false,Internal dependency version pinning for build reproducibility,CDC,2026-02-23,2024-06-01,632,2026-Q1,2026-W09,,Pinned specific Zookeeper and Kafka Confluent versions in GitHub Actions,
FULL-4775,Custom Reports API - Generic Schema,FULL-5018|FULL-5017,2,feature,true,New API endpoints for custom reports with generic schema and typed classes - powers user-facing reporting,FullStack,2026-02-23,2025-06-01,267,2026-Q1,2026-W09,,Implemented Custom Reports API with generic schema GET flow and typed helper functions,TBD
FULL-4801,Netsuite Analytics new source-to-target deployment,FULL-4980,1,feature,true,"Deployed Netsuite Analytics as a new source type in the source-to-target flow, new customer capability",FullStack,2026-02-23,2025-06-01,267,2026-Q1,2026-W09,,Deployed Netsuite Analytics to the new source-to-target experience,TBD
FULL-5027,River page BDU chart accuracy fix,FULL-5027,1,improvement,true,"7-day activity chart now shows accurate total BDU, directly visible on the river page",FullStack,2026-02-23,2026-02-18,5,2026-Q1,2026-W09,,Fixed Total BDU calculation in river page 7-day activity chart,TBD
CORE-2035,Deprecate rivery_back Python 2,CORE-2036,1,tech_debt,false,Internal Python 2 to 3 migration of legacy Salesforce SOAP connector,Core,2026-02-22,2026-02-03,19,2026-Q1,2026-W08,,Migrated Salesforce legacy SOAP connector from Python 2 to Python 3,TBD
FULL-4993,Table schema session persistence,FULL-4993,1,improvement,true,"Schema configuration persists within a session before saving, preventing users from losing unsaved changes",FullStack,2026-02-22,2026-02-09,13,2026-Q1,2026-W08,,Table schema configuration now persists within a session before the user saves,TBD
DCI-715,BigQuery target re-clustering support,DCI-865,1,feature,true,New tech design for BigQuery partitioning support that will improve query performance for users,CDC,2026-02-21,2025-06-01,265,2026-Q1,2026-W08,,Tech design completed for BigQuery target table re-clustering and partitioning support,
FULL-5004,Table sorting in River metadata API,FULL-5007,1,improvement,true,"Tables now sorted by ID in API responses, improving the UX of table selection in rivers",FullStack,2026-02-19,2026-02-01,18,2026-Q1,2026-W08,,API service now returns tables ordered by table ID for consistent display,TBD
DCI-860,MySQL 2TB standard extraction support (part 2),DCI-595|DCI-702,2,feature,true,Continues the large MySQL extraction work with dynamic chunk calculation and validation improvements,CDC,2026-02-18,2025-06-01,262,2026-Q1,2026-W08,,Added dynamic chunk calculation and InnoDB/Primary Key validation for large MySQL extractions,
DCI-581,Oracle synonym support improvements,DCI-667|DCI-721,2,feature,true,New capability for Oracle users: synonym validation and improved commit event handling,CDC,2026-02-18,2025-06-01,262,2026-Q1,2026-W08,,Added Oracle synonym validation and improved flush commit event handling,
CORE-2059,Environment creation API schema fix,CORE-2059,1,bug_fix,true,API bug where is_default field used string instead of boolean breaks environment creation for API users,Core,2026-02-17,2026-02-15,2,2026-Q1,2026-W08,,Fixed environment creation API failing due to incorrect is_default field schema type,TBD
DCI-46,Oracle CDC stability improvements,DCI-704|DCI-753,2,improvement,true,Fixes Oracle CDC redo file errors and ordering issues that directly affect running CDC rivers,CDC,2026-02-16,2024-06-01,625,2026-Q1,2026-W08,,Fixed Oracle CDC redo file loading errors and improved contentsMap ordering,
CORE-2057,P1 Security Fixes Q1/2026,CORE-2057|CORE-2055|CORE-2052,3,tech_debt,false,"Security dependency patches (urllib3, PyYAML) are internal fixes not visible to end users",Core,2026-02-12,2025-06-11,246,2026-Q1,2026-W07,,Fixed P1 security vulnerabilities across urllib3 and PyYAML in multiple services,py_v3_v8.2.1682|TBD
DCI-6,MySQL 2TB standard extraction support (part 1),DCI-6,1,feature,true,Enables customers with very large MySQL databases (up to 2TB) to use standard extraction mode,CDC,2026-02-09,2024-06-01,618,2026-Q1,2026-W07,,MySQL source now supports standard extraction for databases up to 2TB,
